game,variant,seed,timesteps,seen_return_mean,seen_return_std,unseen_return_mean,unseen_return_std,generalization_gap
coinrun,ppo,0,1000000,0.0,0.0,0.0,0.0,0.0
coinrun,ppo,1,1000000,3.5,4.769696235656738,1.5,3.570714235305786,2.0
coinrun,ppo,2,1000000,4.5,4.9749369621276855,3.5,4.769696235656738,1.0
coinrun,ppo,3,1000000,2.5,4.330127239227295,2.5,4.330127239227295,0.0
coinrun,ppo,4,1000000,2.0,4.0,0.5,2.1794495582580566,1.5
coinrun,ppo_frame_stack,0,1000000,4.5,4.9749369621276855,4.5,4.9749369621276855,0.0
coinrun,ppo_frame_stack,1,1000000,5.0,5.0,5.5,4.9749369621276855,-0.5
coinrun,ppo_frame_stack,2,1000000,7.5,4.330127239227295,3.5,4.769696235656738,4.0
coinrun,ppo_frame_stack,3,1000000,0.0,0.0,1.0,3.0,-1.0
coinrun,ppo_frame_stack,4,1000000,4.5,4.9749369621276855,4.0,4.898979663848877,0.5
coinrun,ppo_frame_stack_large_cnn,0,1000000,2.0,4.0,1.5,3.570714235305786,0.5
coinrun,ppo_frame_stack_large_cnn,1,1000000,0.5,2.1794495582580566,1.0,3.0,-0.5
coinrun,ppo_frame_stack_large_cnn,2,1000000,1.5,3.570714235305786,4.5,4.9749369621276855,-3.0
coinrun,ppo_frame_stack_large_cnn,3,1000000,3.5,4.769696235656738,3.0,4.582575798034668,0.5
coinrun,ppo_frame_stack_large_cnn,4,1000000,4.0,4.898979663848877,5.5,4.9749369621276855,-1.5
dodgeball,ppo,0,1000000,0.800000011920929,1.5999999046325684,0.1000000014901161,0.43588986992836,0.699999988079071
dodgeball,ppo,1,1000000,1.2000000476837158,1.4696937799453735,0.5,0.8660253882408142,0.7000000476837158
dodgeball,ppo,2,1000000,0.4000000059604645,1.0198038816452026,0.0,0.0,0.4000000059604645
dodgeball,ppo,3,1000000,0.5,1.072380542755127,0.3000000119209289,0.9539391994476318,0.199999988079071
dodgeball,ppo,4,1000000,0.0,0.0,0.4000000059604645,1.0198038816452026,-0.4000000059604645
dodgeball,ppo_frame_stack,0,1000000,0.4000000059604645,0.800000011920929,0.3000000119209289,0.9539391994476318,0.0999999940395355
dodgeball,ppo_frame_stack,1,1000000,0.0,0.0,0.1000000014901161,0.43588986992836,-0.1000000014901161
dodgeball,ppo_frame_stack,2,1000000,0.1000000014901161,0.43588986992836,0.4000000059604645,1.0198038816452026,-0.3000000119209289
dodgeball,ppo_frame_stack,3,1000000,0.0,0.0,0.1000000014901161,0.43588986992836,-0.1000000014901161
dodgeball,ppo_frame_stack,4,1000000,0.0,0.0,0.0,0.0,0.0
dodgeball,ppo_frame_stack_large_cnn,0,1000000,1.2000000476837158,1.7204649448394775,1.2999999523162842,2.027313470840454,-0.0999999046325683
dodgeball,ppo_frame_stack_large_cnn,1,1000000,1.2000000476837158,2.13541579246521,0.6000000238418579,1.4282857179641724,0.6000000238418579
dodgeball,ppo_frame_stack_large_cnn,2,1000000,0.0,0.0,0.0,0.0,0.0
dodgeball,ppo_frame_stack_large_cnn,3,1000000,0.5,1.072380542755127,0.8999999761581421,1.9467921257019043,-0.3999999761581421
dodgeball,ppo_frame_stack_large_cnn,4,1000000,0.5,1.072380542755127,0.6000000238418579,0.9165151119232178,-0.1000000238418579
starpilot,ppo,0,1000000,2.0999999046325684,2.046948909759521,2.049999952316284,1.6575584411621094,0.0499999523162841
starpilot,ppo,1,1000000,2.25,1.5771809816360474,2.549999952316284,2.765411376953125,-0.2999999523162842
starpilot,ppo,2,1000000,2.5,2.5,2.200000047683716,2.731300115585327,0.2999999523162842
starpilot,ppo,3,1000000,2.950000047683716,3.185514211654663,2.549999952316284,2.3764469623565674,0.4000000953674316
starpilot,ppo,4,1000000,1.350000023841858,1.7109938859939575,1.5499999523162842,2.011839866638184,-0.1999999284744262
starpilot,ppo_frame_stack,0,1000000,1.600000023841858,1.6552945375442505,1.350000023841858,1.710993766784668,0.25
starpilot,ppo_frame_stack,1,1000000,1.2999999523162842,1.4866068363189695,1.5,1.658312439918518,-0.2000000476837158
starpilot,ppo_frame_stack,2,1000000,1.899999976158142,2.754995346069336,2.400000095367432,2.477902412414551,-0.5000001192092896
starpilot,ppo_frame_stack,3,1000000,1.950000047683716,2.3553130626678467,2.0999999046325684,2.299999952316284,-0.1499998569488525
starpilot,ppo_frame_stack,4,1000000,2.75,3.5619516372680664,2.950000047683716,3.122098922729492,-0.2000000476837158
starpilot,ppo_frame_stack_large_cnn,0,1000000,1.7000000476837158,2.3043437004089355,2.150000095367432,2.743628740310669,-0.4500000476837158
starpilot,ppo_frame_stack_large_cnn,1,1000000,1.149999976158142,1.4585951566696167,1.2999999523162842,1.3076696395874023,-0.1499999761581421
starpilot,ppo_frame_stack_large_cnn,2,1000000,1.0,1.5491933822631836,1.7999999523162842,1.7492855787277222,-0.7999999523162842
starpilot,ppo_frame_stack_large_cnn,3,1000000,1.100000023841858,1.0908712148666382,1.2000000476837158,1.536229133605957,-0.1000000238418579
starpilot,ppo_frame_stack_large_cnn,4,1000000,3.3499999046325684,3.7719357013702393,1.2000000476837158,1.1661903858184814,2.1499998569488525
